Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Appiah, Eric Fening","M.B., Ch.B (U.C.C-S.M.S)",Cape Coast Teaching Hospital,
"Appiah, Eric Kofi","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box 1934, Kumasi"
"Appiah, Eric Kwaku","M. B., Ch.B (KNUST-SMS),M.P.H. (UG),M.G.C.P. (G.C.P.S.)",37 Military Hospital,
"Appiah, Francis","M.B., Ch.B (KNUST-SMS),F.C.O.G.S (The Colleges of Medicine of South Africa)",,"P. O. Box 297, Assin Fosu"
"Appiah, Gordon Alexis Obiri","M.B., Ch.B (U.G.M.S)",Post-Graduate College,
"Appiah, John Adabie","M.B., Ch.B (KNUST-SMS),M.W.A.C.P (WACP),Sub-Specialty in Critical Care (Coll. of Med. of S. Afr.)",Accident & Emergency Centre,"P. O. Box 1934, Kumasi"
"Appiah, John Adabie","M.B., Ch.B (KNUST-SMS),M.W.A.C.P (WACP),Sub-Specialty in Critical Care (Coll. of Med. of S. Afr.)",Accident & Emergency Centre,"P. O. Box 1934, Kumasi"
"Appiah, John Affaidzi","M.B., Ch.B (U.G.M.S)",Koforidua Clinic,"P. O. Box KF 494, Koforidua"
"Appiah, Kakra Bonsu",B.D.S (UGDS),Begoro District Hospital,
"Appiah, Kwaku Addai Arhin","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Appiah, Lambert Tetteh","M.B., Ch.B (KNUST-SMS),F.W.A.C.P (Cardiology) (WACP)",Dept. of Medicine,"P. O. Box 1934, Kumasi"
"Appiah, Lawrence Kwarteng","M.B., Ch.B (U.G.M.S)",,"P. O. Box 8450, Accra-North"
"Appiah, Leticia Adelaide","M.D. (Donetsk National Med. Univ.),M.P.H. (University of Ghana)",National Population Council,
"Appiah, Maxwell Nuamah","M.B., Ch.B (KNUST-SMS)",Effia Nkwanta Hospital,"P. O. Box 229, Sekondi"
"Appiah, Paulina Clara","M.B., Ch.B (KNUST-SMS),MSc. Trop. Paed. (Liverpool Sch. of Trop. Med.),M.P.H (UG)",Municipal Health Directorate,"P. O. Box 311, Sunyani"
"Appiah, Regina","M. B., Ch.B (KNUST-SMS)",Dept. of ENT,"P. O. Box KS 1934, Kumasi"
"Appiah, Samuel Oduro","M.B., Ch.B (U.G.M.S)",Sunyani Municipal Hopital,
"Appiedu, Abdul-Halim Adam",M. D (Crimea State Med. Univ.),,"P. O. Box SE 1775 Suame-Kumasi,"
"Apraku-Boadu, Eunice","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Aprese, Dennis Dela Kwasi",B.D.S. (U.G.D.S.),College of Health and Well-being,"P. O. Box 9, Kintampo"
"Apungu, Wenceslaus Bamzuri","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Aratuo, Ruby Angsingnaa","M.B., Ch.B (UDS- SMHS)",VRA Hospital,"P. O. Box 237, Takoradi"
"Archampong, Akosua Amoakwaa","M.B., Ch.B (U.G.M.S),M.G.C.P. (G.C.P.S)",Dept. of Child Health,"P. O. Box 77, Korle-Bu, Accra"
"Archampong, Emmanuel Quaye","M.B., B.S. (Univ. of London),F.R.C.S (RCS, Eng.),F.R.C.S (RCS, Edin.)",Dept. of Surgery,"P. O. Box 4236, Korle-Bu, Accra"
"Archampong, Timothy N. A.","M.B., Ch.B (Univ. of Leicester),M.R.C.P (RCP, UK)",Dept. of Medicine,"P. O. Box 4236, Korle-Bu, Accra"
"Arhin, Doris Anamoah","M.D. (Higher Med. Inst., Bulgaria),M.G.C.P (GCPS)",Ga West Municipal Health Directorate,
"Arhin, Frederick Kojo",B.D.S (U.G.D.S),Dental Dept. 37 Military Hospital,
"Arhin, Jeffrey Kojo","M.B., Ch.B (U.G.M.S)",Shai-Osudoku Districk Hospital,"P. O. Box DD 1, Dodowa"
"Arhinful, Charles","M.B., Ch.B (U.G.M.S)",VRA Hospital,"P. O. Box 77, Akosombo"
"Arhinful, Nana Akua Ampomaa","M.B., Ch.B (KNUST-SMS),",C/O Prof. Daniel Mireku-Gyimah,
"Arhinkorah, Joycelyn Amma","M.B., Ch.B (KNUST-SMS)",Sanford World Clinics P,"P. O. Box GP 13093, Accra"
"Arhinkorah, Lord Kwame","M.B., Ch.B (U.G.M.S),MSc.-Occup. Health (Univ. Of Birimgham)",Tema Oil Refinery Clinic,"P. O. Box 599, Tema"
"Arkhurst, Yacoba","M.B., Ch.B (KNUST-SMS),F.W.A.C.P (WACP)",Dept. of Medicine,"P. O. Box 4236,Korle-Bu, Accra"
"Arko-Boham, Elliott","M.B., Ch.B (U.G.M.S)",Nat. Reconstrct Plastic Surgery,
"Arkoh, Robert","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box 1934, Kumasi"
"Arkorful, Temitope Ebenezer",M.D (Lugansk State Medical University),Regional Hospital,
"Arku, David Ekow","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box CT 1030, Cantonments"
"Arkutu, Norvishie","B.D.S (Univ. of Bristol),Dip. of M’ship of Faculty of Dental Surgery (R.C.P.S),MSc. in Health Serv. Res. (Univ. of Nottingham, UK),Dip. in Orthodontics (R.C.P.S)",Platinum Dental,
"Armah-Arloo, Kwaw","M.D. (Rostov State Med. Inst.),Dip. In Mental Health (W.A.C.P.)",Ankaful Psychiatric Hospital,"P. O. Box 412, Cape Coast."
"Armah, Josiah Oloboye","M.D (Univ. of Erlange, Germany),Sp. Cert. in Obst/Gynae (U. Niedersachsen, Hannover),M.D. (Univ. of Gottingen, West Germany)",Dept. of Obs/Gyn,"P. O. Box 4236, Korle-Bu, Accra"
"Armah, Michael","M.B., Ch.B. (KNUST-SMS)",Chirano Gold mine Ltd,"P. O. Box 57, Bibiani"
"Armah, Naa Ayeley Baake","M.B., Ch.B (U.G.M.S)",Korle Bu Teaching Hospital,
"Armah, Peter Cornelius","M.B., Ch.B (KNUST-SMS)",Eye Clinic,"P. O. Box 1934, Kumasi"
"Armah, Ralph","M.B., Ch.B (U.G.M.S)",Ridge Regional Hospital,
"Armah, Richard Nii",B.D.S (U.G.D.S),Hawa Memorial Saviour Hospital,"P. O. Box 8, Osiem"
"Armar, Doris Ahiney","M.B., Ch.B (Univ. of London)",North Kwashieman Clinic,"P. O. Box AN 1001, Osu, Accra."
"Armar, Nii Adjeidu","M.B., Ch.B (Univ. of Sheffields Med. Sch.),M.R.C.O.G (RCOG, UK)",PMB LG 48 Legon,
"Armooh, Dan Vincent","M.B., Ch.B (KNUST-SMS)",Health-Allianz Clinic,"P. O. Box GP 875 , Accra"
"Armooh, Louis Kwame","M.D.. (Higher Inst. Of Med. Sciences, Cuba)",Korle-Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Arthur Morrison, Peter","M.B., Ch.B (U.G.M.S)",New Crystal Hosp,"P. O. Box TN1803, Teshie Nungua Estates"
"Arthur, Agnes Amankwaa","M.B., Ch.B (KNUST-SMS)",KATH Polyclinic,"P. O. Box KS 1934, Kumasi"
"Arthur, Alexander","M.B., Ch.B (KNUST-SMS)",Adamus Resources Ltd,"P. O. Box ML 188, Mallam - Accra"
"Arthur, Douglas","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Surgery,"P. O. Box 1934, Kumasi"
"Arthur, Emmanuel","M.B., Ch.B (U.G.M.S)",Cocoa Clinic,"P. O. Box 933, Accra"
"Arthur, Isaac Austin","M.B., Ch.B (KNUST-SMS)",Bibiani Holiness Peperatory School B,
"Arthur, Isaac Newman","M.B., Ch.B (U.G.M.S)",St. Nicholas Hospital,"P. O. Box 25, Tema"
"Arthur, Isabella Perpetual","M. B., Ch.B (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 1934, Kumasi"
"Arthur, Joshua Appiah","M.B., Ch.B (KNUST-SMS)",KATH Public Health Unit,"P. O. Box KS 13756, Kumasi"
"Arthur, Justice","M.D. (Vinnitsa State Med. Inst., Ukraine),Master in Int’l Health (University of Copenyagen",Metropolitan Hospital,"P. O. Box 174, Cape Coast"
"Arthur, Juventius","M.B., Ch.B. ( U.G.M.S.)",St. Francis Xavier Hospital,"P. O. Box 43, Assin Fosu"
"Arthur, Mataji","M.B., Ch.B. (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 1934, Kumasi"
"Arthur, Michael",B.D.S. (U.G.D.S),Police Hospital,"P. O. Box CT 2434, Cantonments, Accra"
"Arthur, Panyin Benyimah","M.B., Ch.B. (U.G.M.S.)",Winneba Municipal Hospital,
"Arthur, Sandys Abraham","M.B., Ch. B. (U.G.M.S),M.Sc. Comm. Health in Dev. Coun. (Univ. of London)",Christian Medical Centre,"P. O. Box KB 172, Korle-Bu, Accra"
"Arthur, William Erzuah","M.B., Ch.B (KNUST-SMS)",Korle Bu Teaching Hospital,
"Aryee-Boi, Jeannette","M.D (Free Univ. of Berlin),SP. Cert. in Dermatology (Medical Council, Berlin)",37 Military Hospital,
"Aryee, Kingsford Isaac",M.D. (Univ. of Mainz),Nyaho Med. Centre,"P. O. Box AN 11121, Accra-North"
"Aryee, Maxwell Enyinda","M.B., Ch.B (UGMS)",GAEC,"P. O. Box LG 80, Legon, Accra."
"Aryeetey, Dorcas Naa Dedei","M. B., Ch.B (KNUST-SMS)",Holy Family Hospital,
"Aryeetey, Naa Adorkor","M.B., Ch.B (U.G.M.S)",Dept. of Radiotherapy,"P. O. Box 77, Korle-Bu, Accra"
"Aryeh, Derrick Prince","M.B., Ch.B (KNUST-SMS)",Dept. of Emergency Medicine,
"Asaah-Aboagye, Nana Yaa","M.B., Ch.B (U.G.M.S)",Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani"
"Asaanah, Francis Adam","M.B., Ch.B (U.G.M.S)",Quality Medical Center,"P. O. Box 252, Bwaku Upper East"
"Asafo-Adjei, Frempong","M.B., Ch.B (U.G.M.S)",Trust Hospital,
"Asafo-Agyei, Serwah Bonsu","M. B., Ch.B (KNUST-SMS)",Dept. of Child Heath,"P. O. Box KS 1934, Kumasi"
"Asafo-Agyei, Thomas Moses","M.B., Ch.B (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 9733, Kumasi"
"Asafu-Adjaye, Sedina Andriana","M.B., Ch.B (U.G.M.S)",Korle-Bu Teaching Hospital,
"Asah-Opoku, Kwaku","M.B., Ch.B (U.G.M.S)",Dept. Of Obst & Gynae,
"Asala, Sampson","M.B., Ch.B (UG-SMD)",,"P. O. Box LG 383, Legon, Accra"
"Asam Moro, Salimatu","M.B., Ch.B (KNUST-SMS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Asaman, Jennifer","M. B., Ch.B. (KNUST-SMS)",Sunyani Municipal Hospital,
"Asamani, Mark Akurang","M.B., Ch.B (KNUST-SMS)",St. Francis Xavier Hospital,"P. O. Box 43, Assin Fosu"
"Asamoa-Agyare, Edna Obiribea",M.D. – Lugansk State Med. Univ.,Akuse Government Hospital,
"Asamoa-Amoakohene, Maame N.","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 4697, Accra."
"Asamoa-Manu, Nita","M.B., Ch.B. (KNUST-SMS)",Dept. of Obst/Gynae,"P. O. Box 77, Korle-Bu, Accra."
"Asamoa, Eric Asare","B.D.S (Univ. of Lagos),F.M.C.D.S. (Nat. Post grad. Med. College of Nigeria),F.W.A.C.S (WACS),F.G.C.S. (GCPS),F.I.C.D. (Inter. College of Dentists)",Ridge Regional Hospital,"P. O. Box 473, Accra"
"Asamoah-Okyere, Sheila","M.B., Ch.B (KNUST-SMS),M.W.A.C.S (WACS)",37 Military Hospital,
"Asamoah-Sakyi, Adutwumwaa","M.B., Ch.B (KNUST-SMS)",Dept of Family Medicine,"P. O. Box KS 1934, Kumasi."
"Asamoah, Alexander","M.B., Ch.B (U.G.M.S)",571 S Floyd St. Street 100 Louisville,
"Asamoah, Barnabas Opare","M.B., ChB (KNUST-SMS)",Merciful Clinic Limited,
"Asamoah, Byrite","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Asamoah, Derrick Osei","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 2464 As-Town, Kumasi"
"Asamoah, Ebenezer Elijah",B.D.S. (U.G.D.S.),St. Patrick’s Hospital,
"Asamoah, Francis Adumata","M.B., Ch.B (UGMS),M.G.C.P (G.C.P.S.)",National Centre for Radiotherapy,
"Asamoah, Kofi Tekyi","M.B., Ch.B (KNUST-SMS)",,
"Asamoah, Lorna Awo","M.B., Ch.B (U.G.M.S),M.R.C.P (RCP, UK),M.R.C.P & C.H (UK)",Dept. of Child Health,
"Asamoah, Lucy","M.D (Vinnitsa Med. Inst.),M.P.H (Univ. of Brussels, Belgium)",,"P. O. Box KB 78, Korle-Bu, Accra"
"Asamoah, Nana Akua Konama","M.B., Ch.B (KNUST-SMS)",Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani"
"Asamoah, Natasha","M.B., Ch.B (U.G.M.S)",Kumasi Technical University Clinic,
"Asamoah, Richard","M.B., Ch.B (U.G.M.S)",University Hospital,"P. O. Box LG 79, Legon, Accra"
"Asante-Asamani, Alvin Ansah","M.D. (Vininitsa State Med. Inst.),Sp. In Urology (Rostov State Med. Univ.)",,"P. O. Box 1327, Tema"
"Asante-Asamani, Faustina A.","M.B., Ch.B (KNUST-SMS)",Tema General Hospital,"P. O. Box 14, Tema"
"Asante-Asamani, Lyudmila",M.D (Vinnistsa State Med. Inst.),Tema General Hospital,"P. O. Box 14, Tema"
"Asante-Bediako, Ernestina","M.B., Ch.B. (KNUST-SMS)",Effia Nkwanta Regional Hospital,
"Asante-Danquah, Kofi","D.D.S (Odessa Med. Inst.),Dip. Maxillo-Facial Surg. (Odessa Med. Inst.)",Cape Coast Teaching Hospital,"P. O.Box CT 1363,CapeCoast"
"Asante-Darko, Eric","M.B., Ch.B (KNUST-SMS)",,"P. O. Box LG 1041, Legon, Accra"
"Asante-Kwabiah, Adeline Akua O.","M.B., Ch.B. (KNUST-SMS)",LEKMA Hospital,
"Asante-Mante, Yaa Konadu","M. B., Ch.B (KNUST-SMS)",,"P. O. Box 5795, Adum-Kumasi"
"Asante, Abena","M.B., Ch.B (U.G.M.S)",Int’l. Org. for Migration P,"P. O. Box AN 10788, Accra-North"
"Asante, Adraina Naa Morkor","M.B., Ch.B (U.G.M.S),M.G.C.P.. (Pead.and Child Health) G.C.P.S.",Greater Accra Regional Hospital,
"Asante, Boateng","M.B., Ch.B (U.G.M.S)",Manna Mission Hospital,
"Asante, Cathy Yaa Gyamfua","M.B., Ch.B (KNUST-SMS)",Dept. of Radiology,"P. O. Box 1934, Kumasi"
"Asante, Derrick Kofi","M.B., Ch.B (U.G.M.S)",Pentecost Hospital,"P. O. Box GP 20790, Accra"
"Asante, Emmanuel Addo","M.D (Donetsk Nat. Med. Univ., Ukraine)",Madina Polyclinic,
"Asante, Emmanuel Kwaku","M.B., Ch.B (KNUST-SMS)",Manhyia District Hospital.,
"Asante, Emmanuel Kwaku Attua","M.B., Ch.B (U.G.M.S),M.G.C.S (GCPS),F.W.A.C.S (WACS)",Dept. of Surgery,"P. O. Box 77, Korle Bu, Accra"
"Asante, Eric",M.D (Grodno State Med. Univ.),Nadowli District Hospital,
"Asante, Esther Serwaa","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box KS 13054, Adum Kumasi"
"Asante, Kennedy","M.B., Ch.B (KNUST-SMS)",Ghana Health Service,"P. O. Box 8493, Ahinsan, Kumasi"
"Asante, Kwaku","M.B., Ch.B (KNUST-SMS)",Narh-Bita Hospital,"P. O. Box CO 1061, Tema"
"Asante, Kwaku Poku","M.B., Ch.B (U.G.M.S),M.P.H (University of Ghana),",Kintampo Health Research Centre.,
"Asante, Stephen Agyei","M.B., Ch.B. (KNUST-SMS)",c/o Mr. David Asante,
"Asare Afrane, Adwoa Kumiwa","M.B., Ch.B (U.G.M.S)",Dept. of Child Health,"P. O. Box 77, Korle-Bu, Accra"
"Asare Baah, Andrews","M. B., Ch.B (KNUST-SMS),Dip. In Ophthalmology (WACS)",University of Cape Coast Hospital,
"Asare-Amoah, Emmanuel Kwaku","M.B., Ch.B (KNUST-SMS)",Tema General Hospital,"P. O. Box 14, Tema"
"Asare-Ampomah, Justice","M.B., Ch.B (UCC-SMS)",C/O P,
"Asare-Aniagyei, Martin","M.B., Ch.B (U.G.M.S)",Medland Hospital,"P. O. Box CE12186, Tema"
"Asare-Ansah, Kofi Odei",M.D. (Lugansk State Med. Univ.),Regional Hospital,"P. O. Box 26, Bolga"
"Asare-Bediako, Kwasi",M.B. Ch.B (U.G.M.S),Keta Municipal Hospital,"P. O. Box KW 82, Keta"
"Asare-Bediako, Samuel",M.D. (Moscow State Med. Univ.),BOPP CLINIC,
"Asare-Boateng, Kwame","M.B., Ch.B (U.G.M.S),M.G.C.P. (GCPS)",La General Hospital,
"Asare, Aaron","M.B., Ch.B (U.G.M.S)",Healthlane Hospital,"P. O. Box 799, Sunyani"
"Asare, Adwoa Owusua","M.B., Ch.B (KNUST-SMS)",Dept. of Oncology,"P. O. Box KS 1934, Kumasi"
"Asare, Agnes","M.B., Ch.B (UGMS),M.G.C.S (M.G.C.P.S.)",Municipal Hospital Tarkwa,"P. O. Box 10, Tarkwa"
"Asare, Amgbo","M.B., Ch.B (U.G.M.S,M.G.C.S. (G.C.P.S.)",Dept. Of Trauma and Orthopaedics,
"Asare, Anita Ago","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box CT 1134, Cantonments"
"Asare, Boateng","M.B., Ch.B (KNUST-SMS),",Boukrom Community Hospital,
"Asare, Brainard Ayisi","M.D. (Rostov State Med. Inst.),M.G.C.P. (GCPS)",Kwahu South District Health Directorate,"P. O. Box MP 243,"
"Asare, Chamilla Prashanthie R.","M.D (Rostov State Med. Univ., Russia Fed.)",LEKMA Hospital,
"Asare, Charles",B.D.S (U.G.D.S),,"P. O. Box CO 2733, Tema"
"Asare, Christina Akosua Afariwa",B.D.S (U.G.D.S),Police Hospital,
"Asare, Daniel","M.D. (Kalinin State Med. Inst., Russia Fed.),Dip. In Ortorhinolaryngology (WACS)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Asare, David Kwame","M.B., Ch.B (U.G.M.S)",Dept. of Obst./Gynae,
"Asare, Ernestina","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Asare, Eugenia Vicky N.K.","M.B., Ch.B (U.G.M.S),M.G.C.P (G.C.P.S.)",Dept. of Haematology,"P. O. Box 77, Korle-Bu, Accra"
"Asare, Gloria Joyce","M. B., Ch.B (KNUST-SMS),M.P.H (The Johns Hopkins Univ.),D.P.H (The John Hopkins Univ.)",Office of the Director-General,
"Asare, Isaac","M.B., Ch.B. (U.G.M.S.),MSc. In Comm. Health in Dev. Countr. (U. of London)",Presby University College,"P. O. Box 42, Agogo"
"Asare, Isaac Nyampong","M.B., Ch.B (UGMS)",St. Martins Hospital,
"Asare, Joseph Bediako","M.D (Med. Academy of Cracow, Poland),M.R.C.Psych. (RCP, UK),F.R.C.Psych. (RCP, UK)",,"P. O. Box 15347, Accra-North"
"Asare, Louisa","M.B., Ch.B. (KNUST-SMS)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra."
"Asare, Mercy Dziedzorm","M.B., Ch.B (KNUST-SMS),",Efiduase Government Hospital,
"Asare, Michael Manteaw","M.D. (Rostov State Med. Univ., Russia Fed.)",Dept. of Anaesthesia,
"Asare, Nana Boadi",B.D.S. (U.G.D.S.),Juabeng Gov’t Hospital,
"Asare, Nana Yaa Odamea","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Asare, Offei Kwaku","M. B., Ch.B (KNUST-SMS),M.G.C.S (GCPS),F.W.A.C.S (WACS)",Dept. of Surgery,
"Asare, Peter Kojo","M.B., ChB (KNUST-SMS)",District Health Directorate,"P. O. Box 205, Bechem."
"Asare, Robert Kwasi","M.B., Ch.B (U.G.M.S)",Cocoa Clinic,"P. O. Box 933, Accra"
"Asare, Yaw Goh","M. B., Ch.B ((UCC-SMS)",,"P. O. Box CT 1866, Cantonments – Accra"
"Asemanyi-Mensah, Kofi","M.D (Donnetsk State Med. Inst., Russia Fed.),M.P.H (UG)",Municipal Health Directorate,"P. O. Box 221, Takoradi"
"Asenso-Mensah, Akosua Adoma","M. B., Ch.B (KNUST-SMS)",I & I Clinic Ltd.,"P. O. Box 48, New Abirem, Eastern Region."
"Asenso-Mensah, Emmanuel","M. B., Ch.B (KNUST-SMS)",Bank of Ghana Clinic,
"Aseyoro, Matilda","M.B., Ch.B. ( UDS-SMHS)",Nadowli District Hospital,
"Ashiagbor, Foli Kwasi","M.B., Ch.B (UGMS),M.G.C.P.S (GCPS)",Dept of Surgery,"P. O. Box KB 77, Korle-Bu, Accra"
"Ashidam, Ruth Bernice","M.B., Ch.B (KNUST-SMS)",Ridge Regional Hospital,
"Ashie, Fredrick William Kotei","M.B., Ch.B (KNUST-SMS)",Urgent Care Hosp,"P. O. Box ML 22, Mile Seven, Mallam"
"Ashie, Yolanda","M.B., Ch.B. (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 1934, Kumasi"
"Ashinyo, Anthony","M.B., Ch.B (UGMS)",Nkwanta South District Hospital,"P. O. Box 54, Nkwanta"
"Ashinyo, Mary Eyram","M.B., Ch.B (KNUST-SMS)",Ho Polyclinic,"P. O. Box 68, Ho"
"Ashitei, Christopher Amaa",M.D (Kalinin State Med. Inst.),,"P. O. Box 32, Teshie"
"Ashitey, Gladys Norley","M.D (American Univ. of the Carribean),M.P.H (University of Utah)",Christian Medical Services,"P. O. Box TS 95, Teshie, Accra"
"Ashley, Godwin Nii Sackey","M.B., Ch.B (KNUST-SMS)",,
"Ashong-Katai, Raymond","M.B., Ch.B. (KNUST-SMS)",Dept. of Interna Medicine,"P. O. Box 1934, Kumasi"
"Ashong, Joyce Akewley","M.B., Ch.B (KNUST-SMS)",,
"Ashong, Joycelyn Akuorkor","M.B., Ch.B (KNUST-SMS)",,
"Ashong, Nina Nerkai","M.B., Ch.B. (U.G.M.S.)",,"P. O. Box CT 4733, Accra"
"Asiama-Asare, Daisy","M.B., Ch.B. (UCC-SMS)",Obuasi Gov’t Hospital,
"Asiama, Frederick Kwaku",M.D. ( Univ. of Heidelberg),Hope Meadows Clinic,"P. O. Box RP 28, Kpone- Tema"
"Asiama, Kofi Opuni","M.B., Ch.B (KNUST-SMS)",Dominase S.D.A Hospital,"P. O. Box 272, Bekwai."
"Asiama, Michael Amposa","M.B., Ch.B (UDS-SMHS)",37 Military Hospital,
"Asiamah, Bismark Yeboah","M.B., Ch.B. (UG-SMD)",Pentecost Hospital,"P. O. Box GP 20790, Madina Estate, Accra"
"Asiamah, Bright","M.B., Ch.B (KNUST-SMS),M.G.C.P. (GCPS)",Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani."
"Asiamah, Irene Danquah","M.B., Ch.B. (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 1934, Kumasi"
"Asiamah, Isaac Kweku",B.D.S (U.G.D.S),Ejisu Gov’t. Hospital,"P. O. Box 87, Ejisu"
"Asiamah, Nana Kwame","M.B., Ch.B (U.G.M.S)",United States Peace Corps,
"Asiamah, Samuel","M.B., Ch.B (U.G.M.S)",The Medical Directorate,"P. O. Box 77, Korle-Bu Accra"
"Asibey-Bonsu, Nana Afriyie",M.B.B.S (Jiamusi University),Koforidua S.D.A. Hospital,
"Asibey, Jacqueline Gyapomaa","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",Holy Family Hospital,"P. O. Box 36, Techiman."
"Asibey, Jocelyn Gyapomaa","M.B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. KS 1934, Kumasi"
"Asiedu-Asante, Akosua K.","M.B., Ch.B (KNUST-SMS)",Accident & Emergency Centre,"P. O. Box 1934, Kumasi"
"Asiedu-Bekoe, Franklin","M.B., Ch.B (U.G.M.S),M.P.H (Maastricht Univ., Netherlands),M.G.C.P (GCPS)",Ghana Health Service,
"Asiedu-Frimpong, Fred","M.B., Ch.B (U.G.M.S),Sp. Cert. Internal Med. (Amer. Brd. of Internal Med.)",37 Military Hospital,
"Asiedu-Neizer, Christiana","M. B., Ch.B. (KNUST-SMS)",Kumasi South Hospital,
"Asiedu-Twum, Wendoline O.","M.B., Ch.B (KNUST-SMS)",Emmanuel Eye Centre,"P. O. Box GP 8967, Accra"
"Asiedu, Charles Kwame","M.B., Ch.B (UGMS),M.G.C.S. (GCPS)",,"P. O. Box GP 3194,Accra"
"Asiedu, Daniel Kwaku","M.D. (Univ. Of Bergen, Norway)",Post-Graduate College,
"Asiedu, Ernest Konadu","M.B., Ch.B (KNUST-SMS)",National Catholic Health Secretariat,"P. O. Box KA 9712Accra.,"
"Asiedu, Felix Odae","M.B., Ch.B. ( U.G.M.S.)",Oda Govt Hospital,"P. O. Box 16 Akim Oda,"
"Asiedu, Frederick Kofi","M.B.B.S (Univ. of Lagos),MSc. Occupational Health (McGill Univ., Canada)",Life Health Care Clinic,"P. O. Box AN 15025, Accra-North"
"Asiedu, Isaac Obeng","M.B., Ch.B (UDS-SMHS)",Dept. Of Surgery,"P. O. Box 77, Korle-Bu, Accra"
"Asiedu, Jerry John",M.D. (Lugansk State Med. Univ.),University Hospital,"P. O. Box LG 79, Legon, Accra"
"Asiedu, Patrick","M.B., Ch.B (U.G.M.S)",Northeast Medical Group,
"Asiedu, Paul",M.D (Lugansk State Med. Univ.),KATH,"P. O. Box KS 1934, Kumasi"
"Asiedu, Rosalind Ama Adobea","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Asigri, Pius Von Labaran","M.B., Ch.B (U.G.M.S)",University Hospital,"P. O. Box LG 79, Legon, Accra"
"Asirifi, Amaoko Samuel K.","M.D. (Moscow Med. Academy),Sp. In Obs/Gyn (Volgorad State Med. Univ.),Ph.D In Medicine (Volgorad State Med. Univ)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Asman, Wilfred Kojo","M.B., Ch.B (KNUST-SMS)",Mamobi General Hospital,
"Asomani, David Kwame","M.B., Ch.B (U.G.M.S)",Lighthouse Mission Hospital,
"Asomani, Joseph Kwame","M.D. (Univ., of Leipzig, Germany),Sp. In Surg. (Evangelishes Krankenhus, Germany)",Asomani Clinic,"P. O. Box KF 944, Koforidua"
"Asomani, Samuel Kwabena","M.B., Ch.B (U.G.M.S),M.G.C. P. (G.C.P.S.),M.W.A.C.P (W.A.C.P.)",Dept. Of Medicine and Therapeutics,
"Asomaning, Akosua Ampomah","M.B., Ch.B (KNUST-SMS)",Korle Bu Teaching Hospital,"P. O. Box 77, Accra."
"Assani, Nancy","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",Peace and Grace Hospital,"P. O. Box AN 2252, Kumasi"
"Assasie-Gyimah, Awo Akua","M.D. (Higher Inst. Of Med. Sc., Cuba)",Centre for Radiotherapy & Nuclear Med.,
"Asubonteng, Clement","M.B., Ch.B (KNUST-SMS)",SDA Hospital,"P. O. Box 7, Sefwi Asawinso."
"Asumadu-Sakyi, Kwabena Boaten","M.B., Ch.B (KNUST-SMS)",Dept. of Internal Medicine,"P. O. Box KS 1934, Kumasi"
"Asumah, Hamza","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Asumanu, Edward","M.B., Ch.B (U.G.M.S),F.W.A.C.S (WACS)",Postgraduate Unit,
"Atabudzi, Yao Edem","M.B., Ch.B (UG-SMD)",House No. PHC 41 Teshie-Accra,
