n,name,street address,postal_address,road,ghana_gps_address,locality/area,district,region,country,latitude,longitude,rating,local_phone_number,international_phone_number,website,google_maps_url,type,photo_link,
81,Marie Stopes Ghana Tamale Centre,Tamale - Techiman Rd,,Tamale - Techiman Rd,NT-0000-6198,Tamale,Close to Tamale Central Mosque,Northern Region Ghana,Ghana,9.4030903,-0.8416396,,207699724,+233372028116,Http://Www.Mariestopes.Org.Gh/,Https://Maps.Google.Com/?Cid=17535426391012497136,Hospital,https://lh5.googleusercontent.com/p/AF1QipOaZ9pBtr0hJRXPdwISt8UiyDAZ7pjxFkzxMqMf=w284-h160-k-no,
82,Nyaho Medical Centre Airport,"35 Kofi Annan St, Airport Residential Area",,"35 Kofi Annan St, Airport Residential Area",GA-154-8277,Airport Residential Area ,Accra,Greater Accra Region,Ghana,5.6146777,-0.1849578,3.6,307086490/0501436662/0277752424 (Ambulance Hotline),+233307086490,https://www.nyahomedical.com/,Https://Maps.Google.Com/?Cid=11237310825430473424,Hospital,,
83,Duong Bone Setters' Clinic,Duong Ghana,,,BA-06905-1921,"Duong, Near Bank Western Union",Atebubu-Amantin,Brong Ahafo Region Ghana,Ghana,7.946527,-1.023194,,,,,Https://Maps.Google.Com/?Cid=13736606950426566713,Hospital,,
84,North Ridge Clinic,Tabon St Accra Ghana,,Tabon St Accra Ghana,GA-015-8345 ,"North Ridge, Near KLM Office, DHL Main Office Area",Accra,Greater Accra Region,Ghana,5.5727465,-0.1983728,5,302227328/0244355366,+233302227328,,Https://Maps.Google.Com/?Cid=17386414031538081455,Hospital,https://lh5.googleusercontent.com/p/AF1QipOwzDCJU-l9QE0KzVA0Rr1XzszCGEkPFBJ-NQ9p=w213-h160-k-no,
85,Walewale Hospital,Walewale Ghana,,,ND-00018-9397,"Walewale, Off the Road from the Walewale Police Station",West Mamprusi,Northern Region Ghana,Ghana,10.3470191,-0.8087675,4.5,71522022,,,Https://Maps.Google.Com/?Cid=11492512753457124099,Hospital,,
86,Bamahu Clinic,"Wa-Bole Rd, Bamahu",,"Wa-Bole Rd, Bamahu",XW-0554-1076,Bamahu,Wa,Upper West Region Ghana,Ghana,10.0131495,-2.4878528,4,,,,Https://Maps.Google.Com/?Cid=5382081140586783293,Hospital,,
87,Sambu Health Center,Sambu Ghana,"P. O. Box 8, Sambu",Tamale - Yendi Rd,NI-04371-9075,Sambu,Mion,Northern Region Ghana,Ghana,9.4155164,-0.121678,,243705765,,,Https://Maps.Google.Com/?Cid=15047515574440723797,Hospital,,
88,Mandela Healthcare Center,"Bolgatanga - Tamale Rd, Walewale",,Bolgatanga - Tamale Rd,ND-00010-4288,"Walewale, Ghana Commercial Bank Area",West Mamprusi,Northern Region Ghana,Ghana,10.355624,-0.793102,,,,,Https://Maps.Google.Com/?Cid=6980046030024242365,Hospital,,
89,Kpabia Health Center,,"P. O. BOX 8, KPABIA",,NI-04314-9339,Fule,Mion,Northern Region Ghana,Ghana,9.2657078,-0.238354,,203528728,,,Https://Maps.Google.Com/?Cid=6600430958263911782,Hospital,,
90,Bole District Hospital,"Wenchi - Bole Rd, Bole",,"Wenchi - Bole Rd, Bole",NB-00007-0926,"Bole, Close to Beige Capital",Bole,Northern Region Ghana,Ghana,9.0314693,-2.4879235,3.5,244766565/0275500114,,,Https://Maps.Google.Com/?Cid=17555461411730842870,Hospital,,Watch Cell N90
91,Tema Women's Hospital,"11 Hospital Rd, Tema","P. O. Box 1632, Verical Center - Hospital Road",Community Eleven Hospital Road Tema,GT-078-8110,"Community Eleven Hospital Rd, Close to Tema General Hospital",Tema,Greater Accra Region,Ghana,5.665628,-0.0188009,5,245101622/0303304227,+233245101622,http://www.temawomenshospital.com/site/site/Homes,Https://Maps.Google.Com/?Cid=13180922381509695254,Hospital,,
92,Rhema Clinic & Maternity Home,Bolgatanga Ghana,P.O. Box 388,,,"Situated at Tindosobligo Community,Bolgatanga",Bolgatanga,Upper East Region Ghana,Ghana,10.7682837,-0.8741021,,382096047/0200622200,+233382096047,,Https://Maps.Google.Com/?Cid=15569744733539608078,Hospital,https://lh5.googleusercontent.com/p/AF1QipOb2Ixh8h5KbkHsQrAcTpsyFP1TVveJIxSGaNDF=w213-h160-k-no,
93,Habana Medical Service,Nanton Rd,,Nanton Rd,NS-195-3529,"Around Kamina Barracks, Opposite School of Hygiene, off GILLBT Road",Sagnerigu,Northern Region Ghana,Ghana,9.4584736,-0.842336,4.5,233186766/0249667347/0204526392,+233249667347,http://habanaclinicgh.com/about-us/,Https://Maps.Google.Com/?Cid=9441689845052780188,Hospital,,
94,E.P Dan Moser Memorial Clinic,Dambai Ghana,,"Canaan Lakeside, Unnamed",VR-00038-2403,Dambai,Krachi East,Volta Region Ghana,Ghana,8.0674121,0.1673065,,233243663272,+233205804113,,Https://Maps.Google.Com/?Cid=6880835388451905200,Hospital,,
95,Inochrist Clinic,Dambai Ghana,,,VR-00022-1041,Dambai,Krachi East,Volta Region Ghana,Ghana,8.0601167,0.1846217,,,,,Https://Maps.Google.Com/?Cid=3453926273282263883,Hospital,,
96,Janga Polyclinic,Janga Ghana,,Unnamed,ND-10497-4838,Janga,West Mamprusi,Northern Region Ghana,Ghana,10.0249604,-0.9725069,,,,,Https://Maps.Google.Com/?Cid=2735861076002047673,Hospital,,
97,Accra Psychiatric Hospital,Castle Rd Accra Ghana,"P.O Box 1305, Castle Road, Accra.",Castle Road Accra,GA-051-5235,Opposite Adabraka Polyclinic,Accra,Greater Accra Region,Ghana,5.5633336,-0.2042459,3.6,577690772/0577690766/0577690753,+22675636380,http://accrapsychiatrichospital.org/,Https://Maps.Google.Com/?Cid=6594771171979060823,Hospital,,
98,Raphal Medical Centre,Odoi Atsem Street,P.O Box CE 11035,Odoi Atsem Street,GT-080-4088,"Community Ten, Tema",Tema,Greater Accra Region,Ghana,5.6601563,-0.0206584,4.2,233243862669,+233303301293,Http://Raphalmedicalcentre.Com,Https://Maps.Google.Com/?Cid=5705958001716219950,Hospital,http://raphalmedicalcentre.com/gallery.php,info@raphalmedicalcentre.com/email
99,Pro Vita Specialist Hospital,Obetsebi Lamptey Link Tema Ghana,P.O. Box 1106,,GT-085-8011,Obetsebi Lamptey Link Tema,Tema,Greater Accra Region,Ghana,5.6522096,-0.0188569,4.6,303204266/0202110812,+233303204266,http://provitaspecialisthospital.com/,Https://Maps.Google.Com/?Cid=7105555775329236696,Hospital,,
100,Eden Family Hospital,"Accra Ghana, 1023 Palace",,"Theresas Road, North Kaneshie",GA-212-1915,Accra,Accra,Greater Accra Region,Ghana,5.5804032,-0.2281832,5,302224984,+233302224984,Http://Edenfamilyhospital.Com/Edenfamilyhospital.Html,Https://Maps.Google.Com/?Cid=4738656160122013926,Hospital,,
101,Del International Hospital,65/67 Nii Sai Street East Legon 65 Fourth Street Accra,,,GA-482-7713,65/67 Nii Sai Street East Legon 65 Fourth Street Accra,Accra,Greater Accra Region,Ghana,5.6522983,-0.153704,4.2,234488888/0236688888,+233302543255,http://delinternationalhospital.com/,Https://Maps.Google.Com/?Cid=6328057616932382052,Hospital,,
102,Police Hospital,"Accra Ghana, 76 Ring Road East",,Cantonment,GL-046-4449,"Accra, Cantonement",La Dade-Kotopon,Greater Accra Region,Ghana,5.5684314,-0.1821473,3.8,302762389,+233302762389,http://police.gov.gh/en/index.php/contact-us/,Https://Maps.Google.Com/?Cid=3720483073390149195,Hospital,,email/hq.pro@police.gov.gh
103,Bengali Hospital,Elimol Street Ghana,P.O. BOX 1242 ,,GT-078-4761,"Vertical Centre Comm. II, Elimol Street ",Tema,Greater Accra Region,Ghana,5.6679127,-0.0203338,3.8,303302626/0206301354,+233303302626,,Https://Maps.Google.Com/?Cid=4981199128707058893,Hospital,,
104,Kambali Clinic,Vieri-Wa,,,XW-0069-9969,Wa,Wa,Northern Region Ghana,Ghana,10.0578146,-2.5153173,5,,,,Https://Maps.Google.Com/?Cid=6344456408096532382,Hospital,,
105,Achimota Hospital,"Aggrey St, Accra",,"Aggrey St, Accra",GA-297-6806,Close to Achimota School,Accra,Greater Accra Region,Ghana,5.6294907,-0.2170271,3.7,557845325,+233557845325,,Https://Maps.Google.Com/?Cid=6428550015286511134,Hospital,,
106,Regional Hospital,Koforidua Ghana,P.O. Box 201,,EN-027-9014,Koforidua,New Juaben,"Eastern Region, Ghana",Ghana,6.0972579,-0.2564626,4.2,342023011,0.1000162109,Http://Erhk.Org/,Https://Maps.Google.Com/?Cid=5391117369436734717,Hospital,http://erhk.org/gallery.html#info2-6x,email/info@erhk.org
107,Tema General Hospital,"Hospital Rd Link Ext, Tema",,,GT-160-2828,"Community 9,Tema, Close to Data Link University College",,Greater Accra Region,Ghana,5.6760355,-0.0244872,3.4,303302695/0208140751/0303302336,+233303302695,,Https://Maps.Google.Com/?Cid=14072980522339132112,Hospital,,
108,Ayamfoya Clinic,Zebilla-Bolgatanga Rd Ghana,,Zebilla-Bolgatanga Road,UN-0247-2077,Bolgatanga,Nabdam,Upper East Region Ghana,Ghana,10.8415489,-0.6997722,,,,,Https://Maps.Google.Com/?Cid=10511669260986379453,Hospital,,
109,Lekma Hospital,Agblezaa - Manet Road,,Agblezaa - Manet Road,GZ-103-2926,"Near Teshie Health Assistants Training School, Teshie-Tsuibleoo, PMB Teshie",,Greater Accra Region,Ghana,5.6034059,-0.1199618,4,207826608,+233302717945,,Https://Maps.Google.Com/?Cid=8530880024164307129,Hospital,,
110,Kabsad Scientific Hospital Tamale,Salaga Rd Tamale Ghana,,Salaga Road Tamale,NT-0156-2922,Nim Avenue,Tamale,Northern Region Ghana,Ghana,9.390712,-0.8161319,,,0.999988656,http://kabsadhospital.com/,Https://Maps.Google.Com/?Cid=11063312834059658622,Hospital,,info@kabsadhospital.com
111,Kopah Polyclinic,"Dambai Old Town, Dambai",,Nkwanta-Kpando Road,VR-00001-6560,Dambai Old Town,Krachi East,Volta Region Ghana,Ghana,8.0699715,0.1825877,4.7,244564298,+233244564298,,Https://Maps.Google.Com/?Cid=8073574532394569173,Hospital,,
112,New Crystal Hospital,Ashaiman Tema Ghana,P.O.Box AS 540,Ashaiman Kalgon Road,GB-018-6281,Ashaiman Tema,Ashaiman,Greater Accra Region,Ghana,5.6920335,-0.0344255,4.3,551997846,+233551997846,http://www.newcrystalhealth.org/,Https://Maps.Google.Com/?Cid=3481718819113922598,Hospital,http://www.newcrystalhealth.org/gallery.html,info@newcrystalgroup.org
113,Finney Hospital And Fertility Centre,"Mankessim - Accra Rd, Ngleshi Amanfro",,"Mankessim - Accra Rd, Ngleshi Amanfro",GS-0162-7835,"Mile 11, Near Latex Foam Showroom",Ga South,Greater Accra Region,Ghana,5.549837,-0.355786,3.5,302851702,+233302851702,Http://Www.Finneyhospital.Com/,Https://Maps.Google.Com/?Cid=4116765162672058290,Hospital,,
114,Tamale Rabito,Nyohini Rd Tamale Ghana,,Nyohini Road Tamale,NT-0000-6471,Tamale,Tamale,Northern Region Ghana,Ghana,9.4063927,-0.8415082,3,543115557,420.0366937,https://www.rabitoclinic.com/tamale,Https://Maps.Google.Com/?Cid=13566781130317314466,Hospital,,info@rabitoclinic.com
115,Sunkwa Clinic-Kintampo,Techiman-Tamale Rd Techiman Ghana,"P.O BOX 72, Kintampo",Techiman-Tamale Road Techiman,BK-00020-8715,Near Kingdom Hall of Jehovah Witnesses,Kintampo North,Brong Ahafo Region Ghana,Ghana,8.0454157,-1.7298291,,558010185/0209083848,+233558010185,http://sunkwaclinickintampo.webs.com/,Https://Maps.Google.Com/?Cid=101670454835571134,Hospital,,
116,Akai House Clinic,No1 6Th Circular Road Cantonments Accra Ghana,,No1 6Th Circular Road Cantonments Accra,GL-042-7446,Cantonments,La Dade-Kotopon,Greater Accra Region,Ghana,5.57732,-0.171809,4,302784772,+233302784772,Http://Akai-House-Clinic.Business.Site/,Https://Maps.Google.Com/?Cid=8965870660035456392,Hospital,,
117,Inkoom Hospital,37 Spintex Rd,,Spintex Road Accra,GZ-187-0702,Opposite Action Chapel Batsoona,Ledzokuku Krowor,Greater Accra Region,Ghana,5.6337813,-0.0984662,4.6,237841393/0540667474,+233237841393,,Https://Maps.Google.Com/?Cid=6803169251167244327,Hospital,,
119,Family Health Hospital,Teshie Rd Accra Ghana,"P.O Box TS 669 Teshie, Accra ",Teshie Road Accra,GZ-083-9357,Opposite Kofi Annan International Peace Keeping Training Centre.,Ledzokuku Krowor,Greater Accra Region,Ghana,5.5732857,-0.1125811,4.2,503326753/0553017368,+233503326753,https://fhu.edu.gh/hospital/,Https://Maps.Google.Com/?Cid=10178491071345691147,Hospital,,
122,Duori Clinic,Jirapa Ghana,,,XJ-1710-4368,Jirapa,Jirapa,Upper West Region Ghana,Ghana,10.5978664,-2.7873335,,203214132/0242081982,,,Https://Maps.Google.Com/?Cid=8959422778007559735,Hospital,,
123,Azhar Clinic,Naa Suole II Street,,Naa Suole II Street,XW-0017-1827,"Opposite Market, In NIB Area",Wa,Upper West Region Ghana,Ghana,10.0649224,-2.5054799,,,,,Https://Maps.Google.Com/?Cid=8386713633222796093,Hospital,,
124,Nadowli Kaleo,Duong Ghana,,,XO-2145-9767,Duong,,Upper West Region Ghana,Ghana,10.3411839,-2.5468182,,,,,Https://Maps.Google.Com/?Cid=11297451670394582618,Hospital,,
125,Homeland Clinic,"Sombo Main Road, Wa - Mase Rd",,Sombo Main Road Wa,XW-0318-7223,"Near Nuoyong Empire Hotel, EPA Area",Wa,Upper West Region Ghana,Ghana,10.0512771,-2.5389948,,208256822,+233208256822,,Https://Maps.Google.Com/?Cid=8111540876352310739,Hospital,,
126,Jirapa Urban Clinic,Jirapa Ghana,,,XJ-0003-1287,Jirapa,Jirapa,Upper West Region Ghana,Ghana,10.5401684,-2.6988716,,75622130,,,Https://Maps.Google.Com/?Cid=2877109571049509149,Hospital,,
127,St. Theresa's Hospital,"Lawra - Hamile Rd, Monyupele",,Nandom Lawra - Hamile Road,XN-0070-6021,Monyupele,Nandom,Upper West Region Ghana,Ghana,10.8390595,-2.7730608,4.6,545890978,+233545890978,,Https://Maps.Google.Com/?Cid=12894416374827851425,Hospital,,
128,Chps Compound,"School Rd, Tampaala",,,XJ-0600-4221,Near Tampaala Basic Schools 32R Tampaala,Jirapa,Upper West Region Ghana,Ghana,10.48317,-2.6526189,,75691039,,,Https://Maps.Google.Com/?Cid=10357563830254838172,Hospital,,
129,"Polyclinics II, Hain",1971 Tumu-Wa Rd,,"Tumu-Wa Road, Heng",XJ-4660-8105,Heng Mosque Area,Jirapa,Upper West Region Ghana,Ghana,10.6896428,-2.4442624,4,208339752/075691186,,,Https://Maps.Google.Com/?Cid=7074358183389082545,Hospital,,
131,Bawku Presbyterian Hospital,"Doctors Avenue Street, Bawku","P.O.Box 45, Bawku",,UA-0009-1327,Close to Bawku Presbyterian Church,Bawku,Upper East Region Ghana,Ghana,11.0601261,-0.2329677,4.6,382022231,+233382022231,,Https://Maps.Google.Com/?Cid=8300616594209150683,Hospital,,
133,Akunye Memorial Hospital,Pusiga Ghana,,,UP-0005-5349,Zongo-Pusiga,,Upper East Region Ghana,Ghana,11.0836832,-0.1323375,,247734969/0244592623/0244227134,+233247734969,,Https://Maps.Google.Com/?Cid=6321165065584261081,Hospital,,
135,Amiah Hospital,Bolgatanga Ghana,"P.O. Box 302, Bolagantanga",Off Starlet 191 Road,UB-0132-6377,Bolgatanga,Bolgatanga,Upper East Region Ghana,Ghana,10.810037,-0.8505553,,240169763/0382021111/0208986333/0208075439,+233244169763,http://amiahhospital.com/amiah/,Https://Maps.Google.Com/?Cid=1235486632155595490,Hospital,,
136,Mirigu Clinic,Kassena Nankana Ghana,,,UK-1646-8446,,Kassena Nankana East,Upper East Region Ghana,Ghana,10.9257929,-0.9574118,1,,,,Https://Maps.Google.Com/?Cid=5663199901583441298,Hospital,,
137,Kultamse Health Clinic,Ghana,,,UP-0332-6243,Ghana,Pusiga,Upper East Region Ghana,Ghana,11.1284761,-0.1544121,,,,,Https://Maps.Google.Com/?Cid=13167240158765135866,Hospital,,
138,Timonde Clinic Goriga,Zebilla Ghana,,,UW-1129-4319,Zebilla,Bawku West,Upper East Region Ghana,Ghana,10.906548,-0.4067663,5,244851377,+233244851377,,Https://Maps.Google.Com/?Cid=11196792633052783099,Hospital,,
139,Afri Kids Medical Centre,Bolgatanga Ghana,P.O. Box 166,"Bolgatanga-Zebilla Rd, Bolgatanga",UB-0026-7012,Bolgatanga,,Upper East Region Ghana,Ghana,10.7890744,-0.8412387,4,382023829,+233382023829,https://www.afrikids.org/what-we-do/our-projects/medical-centre/,Https://Maps.Google.Com/?Cid=1705346533339592818,Hospital,,
140,The Glory Medical Centre,Bazua Ghana,,Bawku-Zebilla Rd,UU-0478-4730,Bazua,Binduri,Upper East Region Ghana,Ghana,11.0016893,-0.3571841,5,244767431/0268659437,+233244767431,http://glorymedicalcentre.simplesite.com/,Https://Maps.Google.Com/?Cid=4905089421641810923,Hospital,,
143,Adaklu Waya Clinic,,,,VA-0071-0307,"Close to GN Bank, Adaklu Branch",Adaklu,Volta Region Ghana,Ghana,6.4517925,0.6110012,4,274585473,+233274585473,,Https://Maps.Google.Com/?Cid=13531139938654389339,Hospital,,
144,Afadjato Hospital for Eye and Special Surgery,Tema-Jasikan Rd Ghana,,Tema-Jasikan Road,VF-0622-0304,Hohoe (Ve Kulenu),Afadjato South,Volta Region Ghana,Ghana,7.0539363,0.426835,,289674408,+233289674408,http://www.afadjatohospital.com/,Https://Maps.Google.Com/?Cid=2840641107752725338,Hospital,,
145,Nature's Pride Natural Health And Herbal Clinic,,,"Fodome St, Hohoe",VC-0000-0159,Hohoe,Hohoe,Volta Region Ghana,Ghana,7.1509354,0.4761793,1,208212737,+233208212737,,Https://Maps.Google.Com/?Cid=16271886315106408539,Hospital,https://lh5.googleusercontent.com/p/AF1QipN2zDGyqRbI1CylaEKmgFvybjxDa4P8Ci2GJ-xG=w267-h160-k-no,
146,Ho Royal Hospital,Ho - Deme Road,"P.O.Box MA 236, Ho",Ho - Deme Road,VH-0128-3505,Royal Hospital Ho,Ho,Volta Region Ghana,Ghana,6.6313893,0.4776863,4.5,362095151/0205095922,+233362095151,https://www.royalhospitalho.com/about-us/,Https://Maps.Google.Com/?Cid=4781059743635227564,Hospital,,
147,St. Francis Catholic Clinic. Agorkpo Saviefe,,,,VI-0099-1076,"Agorkpo Saviefe, Ho",,Volta Region Ghana,Ghana,6.7783757,0.4181896,5,,,,Https://Maps.Google.Com/?Cid=12544248591098607321,Hospital,,
148,Worawora Government Hospital,Kpando - Asukawkaw Rd,,Kpando - Asukawkaw Rd,VB-3838-5352,Ho,Biakoye,Volta Region Ghana,Ghana,6.1866621,0.3349777,,,,,Https://Maps.Google.Com/?Cid=4806101165583993787,Hospital,,
149,Agotime Kpetoe Clinic,6016 Ho - Denu Rd,,"Ho - Denu Rd, Agotime Kpetoe",VG-0005-4044,Close to Kpetoe Market,Agotime Ziope,Volta Region Ghana,Ghana,6.547795,0.6935281,,,,,Https://Maps.Google.Com/?Cid=7779457671933681592,Hospital,https://geo2.ggpht.com/cbk?panoid=5Pm70uy_SMiAIpzCpO-Zbg&output=thumbnail&cb_client=search.LOCAL_UNIVERSAL.gps&thumb=2&w=139&h=160&yaw=15.360202&pitch=0&thumbfov=100,
150,Grace Homeopathic Clinic Ho V/R,"Housing Rd, Ho",,"Housing Rd, Ho",VH-0030-9876,Ho,,Volta Region Ghana,Ghana,6.6211997,0.4715176,4,500553600,+233500553600,,Https://Maps.Google.Com/?Cid=8142186203019719035,Hospital,,
151,"VRA Clinic, Accra","48 Lokko Rd, Accra ",,Lokko Road Accra,GA-114-7423,Accra,Accra,Greater Accra Region Ghana,Ghana,5.5537664,-0.1808093,3.8,302218552,,Http://Vra.Com/,Https://Maps.Google.Com/?Cid=2526328768183962098,Hospital,,
152,Hohoe Municipal Hospital,Tema- Jasikan Road,,Tema- Jasikan Road,VC-0004-1901,Near Holy Rosary Catholic Church,Hohoe,Volta Region Ghana,Ghana,7.1572916,0.472513,4.2,208160465,+233208160465,Http://Www.Ghanahealthservice.Org/,Https://Maps.Google.Com/?Cid=10374950396334199020,Hospital,,
153,Margret Marquart Catholic Hospital,"Adedze Street, Kpando ",,,VP-0009-5302,"Adedze Street, Kpando",Kpando,Volta Region Ghana,Ghana,6.9998835,0.3033444,4.5,362350136,,http://www.mmcatholichospital.com/,Https://Maps.Google.Com/?Cid=9591003365169925615,Hospital,,
154,VRA Hospital Sbu,Asuogyaman-Atimpoku Rd,,Asuogyaman-Atimpoku Rd,EA-0375-8125,Akosombo,Asuogyaman,Eastern Region Ghana,Ghana,6.263914,0.057556,3.8,343020576/0343021200,,http://www.vra.com/subsidiaries/akosombo_hospital.php,Https://Maps.Google.Com/?Cid=3636422704558703980,Hospital,,
155,Battor Catholic Hospital,,,,VT-0037-4176,"Close to Battor Market, Battor",North Tongu,Volta Region Ghana,Ghana,6.0685878,0.4016025,3.8,242172284,+233242172284,,Https://Maps.Google.Com/?Cid=17780814901370724853,Hospital,http://ghanahealthnest.com/heal/wp-content/uploads/2017/06/DSC_9453-750x430.jpg,
156,Anfoega Catholic Hospital,Kpando Ghana,,,VD-0021-5937,Anfoega Akukome,North Dayi,Volta Region Ghana,Ghana,6.8800435,0.2766528,5,208120118/09191346,,,Https://Maps.Google.Com/?Cid=14973869696143859960,Hospital,,
157,Keta Government Hospital,"Norlivime Link, Keta",,,VK-0082-7562,Keta,Keta,Volta Region Ghana,Ghana,5.8882467,0.9825683,3.5,362642291,+233362642291,,Https://Maps.Google.Com/?Cid=9714956595061371419,Hospital,,
158,GPHA Clinic,Meridian Rd,,,GT-056-5376,"Off Meridian Road, Near Papaye Fast Food",Tema,Greater Accra Region,Ghana,5.6326426,-0.0065788,4.7,303202053/0303204416,+233303202053,,Https://Maps.Google.Com/?Cid=10923327517331532837,Hospital,,
159,St Anthony'S Catholic Hospital Dzodze,"104 Ho - Denu Rd, Dzodze",,Ho - Denu Road Dzodze,VY-0004-3113,,Ketu North,Volta Region Ghana,Ghana,6.2409244,0.989542,3.8,243339535,+233243339535,Http://Www.Stanthonyshospitalgh.Com/,Https://Maps.Google.Com/?Cid=14778831114178217540,Hospital,,
160,Dovcat Clinic,"Apple St, Madina",,"Apple St, Madina",GD-170-9570,Ghana,Adentan,Greater Accra Region,Ghana,5.6683375,-0.1259837,,,,,Https://Maps.Google.Com/?Cid=1129655412305991356,Hospital,,
161,New Crystal Clinic,"Tema - Akosombo Rd, Tema",,Tema-Jasikan Road Tema,GK-0260-8388,Adjacent St Joseph Roman Catholic Church Community 8,Kpone Katamanso,Greater Accra Region,Ghana,5.7365978,-0.0142184,3.8,244278434/0244118482,,,Https://Maps.Google.Com/?Cid=6970471725505601972,Hospital,,
162,End Point Homeopathic Clinic,"Aviation Highway, Accra",,,GZ-189-2615,Spintex Road ( Shell Signboard ),,Greater Accra Region,Ghana,5.63438,-0.1110783,3.9,547964643/ 0274234321/ 0244867068,+233547964643,http://www.endpointclinic.com/,Https://Maps.Google.Com/?Cid=1991994958907761926,Hospital,,
,End Point Homeopathic Clinic,,,,,"Kronom-Aboahia, Kumasi, Near Angel School Complex",,Ashanti Region,,,,,,,,,,,
,End Point Homeopathic Clinic,,,,,"Takoradi Anaji Estate, Behind Queen of Peace",,Western Region Ghana,,,,,,,,,,,
164,Ho Polyclinic,"85 Ho - Denu Rd, Ho",,,VH-0203-6669,Ho,,Volta Region Ghana,Ghana,6.6028033,0.4925723,3,244975112/0208174578,,,Https://Maps.Google.Com/?Cid=5771492286369213293,Hospital,,
166,"中国诊所Chinese Acupuncture Clinic, Accra","Nungua Main Road, Sakumono",,,GT-378-3305,"Nungua Main Road, Sakumono",Tema,Greater Accra Region,Ghana,5.6204509,-0.0703812,3,244257078,+233244257078,http://chinese-acupuncture-clinic-hospital.business.site/,Https://Maps.Google.Com/?Cid=17432512003748003944,Hospital,,
,Pro life Chiinese Accupunture Clinic,"11 Boundary Rd, Accra",,"Boundary Road, East Legon",GM-040-2089,"East Legon, Ghana",La Nkwantanang-Madina,Greater Accra Region,Ghana,5.660195,-0.151783,3.8,246575768,,,,,,
167,Christleads Clinic,,,,GM-030-8041,"Close to REDCO Flats, Off Madina Old Road",La Nkwantanang-Madina,Greater Accra Region,Ghana,5.6805187,-0.1760475,5,302996873,+233302996873,,Https://Maps.Google.Com/?Cid=1774166229088728886,Hospital,,
168,Wara Hospital,"Abafun Cres, Accra",,,GL-026-8292,"Abafun Cres, Accra",La Dade-Kotopon,Greater Accra Region,Ghana,5.5703851,-0.1669762,4.5,302781258,+233302781258,http://ghana.westafrican-rescue.com/,Https://Maps.Google.Com/?Cid=3498907658506137042,Hospital,,
169,Rinat Clinic Limited,"Bethel Ave, Madina",,"Bethel Ave, Madina",GD-189-7706,,Adentan,Greater Accra Region,Ghana,5.651954,-0.131283,3,276889560,+233276889560,,Https://Maps.Google.Com/?Cid=12240049980968053127,Hospital,,
170,Tantra Community Clinic,82 Oregano Street Tantra Hill Ghana,,,GW-0839-6524,82 Oregano Street Tantra Hill,,Greater Accra Region,Ghana,5.6463407,-0.2552497,3.9,501395079,+233501395079,,Https://Maps.Google.Com/?Cid=13831898425445674312,Hospital,,
171,Dr. Agarwal'S Eye Hospital,"J.A. Kuffour Avenue Tesano, Abeka Junction, Accra",,,GA-165-7987,"Global Office Complex, 3rd & 4th floor J.A. Kuffour Avenue Tesano, Accra ",Accra,Greater Accra Region,Ghana,5.6061886,-0.2254933,3.7,503019311,+233503019311,http://www.dragarwal.com/,Https://Maps.Google.Com/?Cid=2334789029423873227,Hospital,,
172,CPF Clinic,Manye Adorkor Ave,,,GA-300-9894,"New Achimota, Burkina Faso Road, Accra",Accra,Greater Accra Region,Ghana,5.6244399,-0.2381077,,302412234,,,Https://Maps.Google.Com/?Cid=14418045474235501918,Hospital,,
173,St. Luke's Clinic,"12 H Kessels Cl, Accra",,,GA-153-4067,Accra,Accra,Greater Accra Region,Ghana,5.6142507,-0.1778388,5,302775405,+233302775405,,Https://Maps.Google.Com/?Cid=2020333120027977065,Hospital,,
174,Claron Health International,"No 2 Dodi Link Airport Residential Area, Volta Street Accra","P. O. BOX CT 1324, Accra","No 2 Dodi Link Airport Residential Area, Volta Street Accra",GA-117-4030,Airport Residential,Accra,Greater Accra Region,Ghana,5.612592,-0.182341,4.2,302771017,+233302771017,https://claron.org/,Https://Maps.Google.Com/?Cid=3541155276030906927,Hospital,,
,St Luke's Cardiac Clinic,"Ring Road Central, Hse. No 43",,,,"Ring Road Central, Hse. No 43 / Between Airtel & UBA Bank",,Greater Accra Region,Ghana,5.572391,-0.202908,,264586910/ 0303935865 ,,http://www.stlukecardiacclinic.com/index.html,"https://www.google.com/maps/place/5°34'20.6%22N+0°12'10.2%22W/@5.5723889,-0.2033818,265m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d5.572376!4d-0.202828",,,
175,Midway Clinic,Accra Ghana,,"Ayikai Lane, Accra",GA-163-6237,"Abofu- Achimota,(About 150m directly opposite the New Achimota Bus Terminal.)",Accra,Greater Accra Region,Ghana,5.6173916,-0.2262581,4,302400379/0289104776/0302950173/0302939804,+233302400379,http://www.midwayclinicgh.com/index.php,Https://Maps.Google.Com/?Cid=7121022564481869267,Hospital,,
176,Sacred Heart Hospital,Abor Ghana,,Anyako Rd,VK-2115-3286,On the Abor Anyaku Main Road,,Volta Region Ghana,Ghana,6.0555758,0.8683333,4,244486358/0244781904,,,Https://Maps.Google.Com/?Cid=8966438713940965814,Hospital,,
